year,origin,destin,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
1998,"""ALBUQUERQUE, NM""","""BOSTON, MA""",10,1976,155,242,0.2568,7.58883,1,0,0,5.488938,57.59034,0.2568,5.043425
1999,"""ALBUQUERQUE, NM""","""BOSTON, MA""",10,1976,173,221,0.2845,7.58883,0,1,0,5.398163,57.59034,0.2845,5.153292
2000,"""ALBUQUERQUE, NM""","""BOSTON, MA""",10,1976,187,214,0.3001,7.58883,0,0,1,5.365976,57.59034,0.3001,5.231109
1997,"""ALBUQUERQUE, NM""","""CHICAGO, IL""",11,1118,364,181,0.4522,7.019297,0,0,0,5.198497,49.27053,0.4522,5.897154
1998,"""ALBUQUERQUE, NM""","""CHICAGO, IL""",11,1118,374,182,0.4882,7.019297,1,0,0,5.204007,49.27053,0.4882,5.924256
1999,"""ALBUQUERQUE, NM""","""CHICAGO, IL""",11,1118,368,183,0.4113,7.019297,0,1,0,5.209486,49.27053,0.4113,5.908083
2000,"""ALBUQUERQUE, NM""","""CHICAGO, IL""",11,1118,383,188,0.4847,7.019297,0,0,1,5.236442,49.27053,0.4847,5.948035
1997,"""ALBUQUERQUE, NM""","""DALLAS, TX""",12,580,1244,97,0.6729,6.363028,0,0,0,4.574711,40.48812,0.6729,7.126087
1998,"""ALBUQUERQUE, NM""","""DALLAS, TX""",12,580,962,109,0.6530001,6.363028,1,0,0,4.691348,40.48812,0.6530001,6.869014
1999,"""ALBUQUERQUE, NM""","""DALLAS, TX""",12,580,980,110,0.6653,6.363028,0,1,0,4.70048,40.48812,0.6653,6.887553
2000,"""ALBUQUERQUE, NM""","""DALLAS, TX""",12,580,954,117,0.6883,6.363028,0,0,1,4.762174,40.48812,0.6883,6.860664
1997,"""ALBUQUERQUE, NM""","""DENVER, CO""",13,349,400,136,0.8253,5.855072,0,0,0,4.912655,34.28187,0.8253,5.991465
1998,"""ALBUQUERQUE, NM""","""DENVER, CO""",13,349,353,186,0.7903,5.855072,1,0,0,5.225747,34.28187,0.7903,5.866468
1999,"""ALBUQUERQUE, NM""","""DENVER, CO""",13,349,349,184,0.7999,5.855072,0,1,0,5.214936,34.28187,0.7999,5.855072
2000,"""ALBUQUERQUE, NM""","""DENVER, CO""",13,349,319,198,0.7192,5.855072,0,0,1,5.288267,34.28187,0.7192,5.765191
1997,"""ALBUQUERQUE, NM""","""EL PASO, TX""",14,223,278,68,0.792,5.407172,0,0,0,4.219508,29.23751,0.792,5.627621
1998,"""ALBUQUERQUE, NM""","""EL PASO, TX""",14,223,255,71,0.7787001,5.407172,1,0,0,4.26268,29.23751,0.7787001,5.541264
1999,"""ALBUQUERQUE, NM""","""EL PASO, TX""",14,223,255,72,0.8664,5.407172,0,1,0,4.276666,29.23751,0.8664,5.541264
2000,"""ALBUQUERQUE, NM""","""EL PASO, TX""",14,223,241,75,0.8465,5.407172,0,0,1,4.317488,29.23751,0.8465,5.484797
1997,"""ALBUQUERQUE, NM""","""HOUSTON, TX""",15,745,437,132,0.4942,6.613384,0,0,0,4.882802,43.73685,0.4942,6.079933
1998,"""ALBUQUERQUE, NM""","""HOUSTON, TX""",15,745,385,148,0.4745,6.613384,1,0,0,4.997212,43.73685,0.4745,5.953243
1999,"""ALBUQUERQUE, NM""","""HOUSTON, TX""",15,745,440,137,0.4952,6.613384,0,1,0,4.919981,43.73685,0.4952,6.086775
2000,"""ALBUQUERQUE, NM""","""HOUSTON, TX""",15,745,443,151,0.4931,6.613384,0,0,1,5.01728,43.73685,0.4931,6.09357
1997,"""ALBUQUERQUE, NM""","""KANSAS CITY, MO""",16,719,197,127,0.5813,6.577861,0,0,0,4.844187,43.26826,0.5813,5.283204
1998,"""ALBUQUERQUE, NM""","""KANSAS CITY, MO""",16,719,184,146,0.6698,6.577861,1,0,0,4.983607,43.26826,0.6698,5.214936
1999,"""ALBUQUERQUE, NM""","""KANSAS CITY, MO""",16,719,187,135,0.7471,6.577861,0,1,0,4.905275,43.26826,0.7471,5.231109
2000,"""ALBUQUERQUE, NM""","""KANSAS CITY, MO""",16,719,178,149,0.8061,6.577861,0,0,1,5.003946,43.26826,0.8061,5.181784
1997,"""ALBUQUERQUE, NM""","""LAS VEGAS, NV""",17,487,761,83,0.7117,6.188264,0,0,0,4.41884,38.29461,0.7117,6.634634
1998,"""ALBUQUERQUE, NM""","""LAS VEGAS, NV""",17,487,602,110,0.9228,6.188264,1,0,0,4.70048,38.29461,0.9228,6.400258
1999,"""ALBUQUERQUE, NM""","""LAS VEGAS, NV""",17,487,597,111,0.9234,6.188264,0,1,0,4.70953,38.29461,0.9234,6.391917
2000,"""ALBUQUERQUE, NM""","""LAS VEGAS, NV""",17,487,678,105,0.9279,6.188264,0,0,1,4.65396,38.29461,0.9279,6.519147
1997,"""ALBUQUERQUE, NM""","""LOS ANGELES, CA""",18,677,935,103,0.815,6.517671,0,0,0,4.634729,42.48004,0.815,6.840547
1998,"""ALBUQUERQUE, NM""","""LOS ANGELES, CA""",18,677,886,112,0.8047,6.517671,1,0,0,4.718499,42.48004,0.8047,6.786717
1999,"""ALBUQUERQUE, NM""","""LOS ANGELES, CA""",18,677,842,120,0.8728,6.517671,0,1,0,4.787492,42.48004,0.8728,6.73578
2000,"""ALBUQUERQUE, NM""","""LOS ANGELES, CA""",18,677,806,131,0.8754,6.517671,0,0,1,4.875197,42.48004,0.8754,6.692084
1997,"""ALBUQUERQUE, NM""","""MINNEAPOLIS, MN""",19,982,189,190,0.6841,6.889591,0,0,0,5.247024,47.46647,0.6841,5.241747
1998,"""ALBUQUERQUE, NM""","""MINNEAPOLIS, MN""",19,982,183,186,0.65,6.889591,1,0,0,5.225747,47.46647,0.65,5.209486
1999,"""ALBUQUERQUE, NM""","""MINNEAPOLIS, MN""",19,982,182,202,0.5695,6.889591,0,1,0,5.308268,47.46647,0.5695,5.204007
2000,"""ALBUQUERQUE, NM""","""MINNEAPOLIS, MN""",19,982,181,193,0.6575,6.889591,0,0,1,5.26269,47.46647,0.6575,5.198497
1997,"""ALBUQUERQUE, NM""","""NEW YORK, NY""",20,1817,441,224,0.2793,7.504942,0,0,0,5.411646,56.32415,0.2793,6.089045
1998,"""ALBUQUERQUE, NM""","""NEW YORK, NY""",20,1817,363,240,0.247,7.504942,1,0,0,5.480639,56.32415,0.247,5.894403
1999,"""ALBUQUERQUE, NM""","""NEW YORK, NY""",20,1817,317,265,0.2345,7.504942,0,1,0,5.57973,56.32415,0.2345,5.758902
2000,"""ALBUQUERQUE, NM""","""NEW YORK, NY""",20,1817,355,250,0.2948,7.504942,0,0,1,5.521461,56.32415,0.2948,5.872118
1997,"""ALBUQUERQUE, NM""","""OAKLAND, CA""",21,889,207,128,0.6642,6.790097,0,0,0,4.85203,46.10542,0.6642,5.332719
1998,"""ALBUQUERQUE, NM""","""OAKLAND, CA""",21,889,300,143,0.8355,6.790097,1,0,0,4.962845,46.10542,0.8355,5.703783
1999,"""ALBUQUERQUE, NM""","""OAKLAND, CA""",21,889,379,145,0.8802,6.790097,0,1,0,4.976734,46.10542,0.8802,5.937536
2000,"""ALBUQUERQUE, NM""","""OAKLAND, CA""",21,889,372,154,0.875,6.790097,0,0,1,5.036952,46.10542,0.875,5.918894
1997,"""ALBUQUERQUE, NM""","""ONTARIO, CA""",22,632,194,108,0.7625,6.448889,0,0,0,4.682131,41.58817,0.7625,5.267858
1998,"""ALBUQUERQUE, NM""","""ONTARIO, CA""",22,632,201,113,0.6856,6.448889,1,0,0,4.727388,41.58817,0.6856,5.303305
1999,"""ALBUQUERQUE, NM""","""ONTARIO, CA""",22,632,194,124,0.6518,6.448889,0,1,0,4.820282,41.58817,0.6518,5.267858
2000,"""ALBUQUERQUE, NM""","""ONTARIO, CA""",22,632,178,131,0.6583,6.448889,0,0,1,4.875197,41.58817,0.6583,5.181784
1997,"""ALBUQUERQUE, NM""","""ORLANDO, FL""",23,1554,200,134,0.552,7.348588,0,0,0,4.89784,54.00174,0.552,5.298317
1998,"""ALBUQUERQUE, NM""","""ORLANDO, FL""",23,1554,198,164,0.4992,7.348588,1,0,0,5.099866,54.00174,0.4992,5.288267
1999,"""ALBUQUERQUE, NM""","""ORLANDO, FL""",23,1554,194,158,0.4723,7.348588,0,1,0,5.062595,54.00174,0.4723,5.267858
2000,"""ALBUQUERQUE, NM""","""ORLANDO, FL""",23,1554,197,169,0.5633,7.348588,0,0,1,5.129899,54.00174,0.5633,5.283204
1997,"""ALBUQUERQUE, NM""","""PHOENIX, AZ""",24,328,1492,66,0.8163,5.793014,0,0,0,4.189655,33.55901,0.8163,7.307873
1998,"""ALBUQUERQUE, NM""","""PHOENIX, AZ""",24,328,1362,65,0.8335,5.793014,1,0,0,4.174387,33.55901,0.8335,7.21671
1999,"""ALBUQUERQUE, NM""","""PHOENIX, AZ""",24,328,1449,64,0.8277,5.793014,0,1,0,4.158883,33.55901,0.8277,7.278629
2000,"""ALBUQUERQUE, NM""","""PHOENIX, AZ""",24,328,1454,68,0.8254,5.793014,0,0,1,4.219508,33.55901,0.8254,7.282073
1997,"""ALBUQUERQUE, NM""","""PORTLAND, OR""",25,1113,189,144,0.3193,7.014814,0,0,0,4.969813,49.20762,0.3193,5.241747
1998,"""ALBUQUERQUE, NM""","""PORTLAND, OR""",25,1113,170,151,0.2922,7.014814,1,0,0,5.01728,49.20762,0.2922,5.135798
1999,"""ALBUQUERQUE, NM""","""PORTLAND, OR""",25,1113,187,153,0.3057,7.014814,0,1,0,5.030438,49.20762,0.3057,5.231109
2000,"""ALBUQUERQUE, NM""","""PORTLAND, OR""",25,1113,208,156,0.3159,7.014814,0,0,1,5.049856,49.20762,0.3159,5.337538
1997,"""ALBUQUERQUE, NM""","""SALT LAKE CITY, UT""",26,494,209,112,0.6531,6.202536,0,0,0,4.718499,38.47145,0.6531,5.342334
1998,"""ALBUQUERQUE, NM""","""SALT LAKE CITY, UT""",26,494,193,120,0.7086,6.202536,1,0,0,4.787492,38.47145,0.7086,5.26269
1999,"""ALBUQUERQUE, NM""","""SALT LAKE CITY, UT""",26,494,176,124,0.5034,6.202536,0,1,0,4.820282,38.47145,0.5034,5.170484
2000,"""ALBUQUERQUE, NM""","""SALT LAKE CITY, UT""",26,494,167,124,0.5098,6.202536,0,0,1,4.820282,38.47145,0.5098,5.117994
1997,"""ALBUQUERQUE, NM""","""SAN ANTONIO, TX""",27,610,183,137,0.7373,6.413459,0,0,0,4.919981,41.13245,0.7373,5.209486
1998,"""ALBUQUERQUE, NM""","""SAN ANTONIO, TX""",27,610,167,150,0.75,6.413459,1,0,0,5.010635,41.13245,0.75,5.117994
1999,"""ALBUQUERQUE, NM""","""SAN ANTONIO, TX""",27,610,177,144,0.606,6.413459,0,1,0,4.969813,41.13245,0.606,5.17615
2000,"""ALBUQUERQUE, NM""","""SAN ANTONIO, TX""",27,610,182,158,0.7534,6.413459,0,0,1,5.062595,41.13245,0.7534,5.204007
1997,"""ALBUQUERQUE, NM""","""SAN DIEGO, CA""",28,628,368,109,0.8444999,6.44254,0,0,0,4.691348,41.50632,0.8444999,5.908083
1998,"""ALBUQUERQUE, NM""","""SAN DIEGO, CA""",28,628,374,113,0.7525,6.44254,1,0,0,4.727388,41.50632,0.7525,5.924256
1999,"""ALBUQUERQUE, NM""","""SAN DIEGO, CA""",28,628,369,124,0.8114,6.44254,0,1,0,4.820282,41.50632,0.8114,5.910797
2000,"""ALBUQUERQUE, NM""","""SAN DIEGO, CA""",28,628,370,133,0.839,6.44254,0,0,1,4.890349,41.50632,0.839,5.913503
1997,"""ALBUQUERQUE, NM""","""SAN FRANCISCO, CA""",29,897,456,133,0.6877,6.799056,0,0,0,4.890349,46.22716,0.6877,6.122493
1998,"""ALBUQUERQUE, NM""","""SAN FRANCISCO, CA""",29,897,315,133,0.4232,6.799056,1,0,0,4.890349,46.22716,0.4232,5.752573
1999,"""ALBUQUERQUE, NM""","""SAN FRANCISCO, CA""",29,897,212,143,0.3455,6.799056,0,1,0,4.962845,46.22716,0.3455,5.356586
2000,"""ALBUQUERQUE, NM""","""SAN FRANCISCO, CA""",29,897,202,146,0.345,6.799056,0,0,1,4.983607,46.22716,0.345,5.308268
1997,"""ALBUQUERQUE, NM""","""SAN JOSE, CA""",30,871,224,136,0.5468,6.769642,0,0,0,4.912655,45.82805,0.5468,5.411646
1998,"""ALBUQUERQUE, NM""","""SAN JOSE, CA""",30,871,199,149,0.5647,6.769642,1,0,0,5.003946,45.82805,0.5647,5.293305
1999,"""ALBUQUERQUE, NM""","""SAN JOSE, CA""",30,871,206,151,0.5769,6.769642,0,1,0,5.01728,45.82805,0.5769,5.327876
2000,"""ALBUQUERQUE, NM""","""SAN JOSE, CA""",30,871,205,155,0.6163,6.769642,0,0,1,5.043425,45.82805,0.6163,5.32301
1997,"""ALBUQUERQUE, NM""","""SEATTLE, WA""",31,1181,252,149,0.2964,7.074117,0,0,0,5.003946,50.04313,0.2964,5.529429
1998,"""ALBUQUERQUE, NM""","""SEATTLE, WA""",31,1181,261,146,0.3508,7.074117,1,0,0,4.983607,50.04313,0.3508,5.56452
1999,"""ALBUQUERQUE, NM""","""SEATTLE, WA""",31,1181,284,150,0.4839,7.074117,0,1,0,5.010635,50.04313,0.4839,5.648974
2000,"""ALBUQUERQUE, NM""","""SEATTLE, WA""",31,1181,288,156,0.4917,7.074117,0,0,1,5.049856,50.04313,0.4917,5.662961
1997,"""ALBUQUERQUE, NM""","""ST. LOUIS, MO""",32,935,150,132,0.6216,6.840547,0,0,0,4.882802,46.79308,0.6216,5.010635
1998,"""ALBUQUERQUE, NM""","""ST. LOUIS, MO""",32,935,164,149,0.6753,6.840547,1,0,0,5.003946,46.79308,0.6753,5.099866
1999,"""ALBUQUERQUE, NM""","""ST. LOUIS, MO""",32,935,158,150,0.5912,6.840547,0,1,0,5.010635,46.79308,0.5912,5.062595
2000,"""ALBUQUERQUE, NM""","""ST. LOUIS, MO""",32,935,165,156,0.5687,6.840547,0,0,1,5.049856,46.79308,0.5687,5.105946
1997,"""ALBUQUERQUE, NM""","""WASHINGTON, DC""",33,1648,411,183,0.3682,7.407318,0,0,0,5.209486,54.86835,0.3682,6.018593
1998,"""ALBUQUERQUE, NM""","""WASHINGTON, DC""",33,1648,395,173,0.3583,7.407318,1,0,0,5.153292,54.86835,0.3583,5.978886
1999,"""ALBUQUERQUE, NM""","""WASHINGTON, DC""",33,1648,390,196,0.2932,7.407318,0,1,0,5.278115,54.86835,0.2932,5.966147
2000,"""ALBUQUERQUE, NM""","""WASHINGTON, DC""",33,1648,337,226,0.4041,7.407318,0,0,1,5.420535,54.86835,0.4041,5.820083
1997,"""ALLENTOWN, PA""","""CHICAGO, IL""",34,655,157,274,0.8678,6.484635,0,0,0,5.613128,42.0505,0.8678,5.056246
1998,"""ALLENTOWN, PA""","""CHICAGO, IL""",34,655,156,245,0.891,6.484635,1,0,0,5.501258,42.0505,0.891,5.049856
1999,"""ALLENTOWN, PA""","""CHICAGO, IL""",34,655,131,270,0.8455999,6.484635,0,1,0,5.598422,42.0505,0.8455999,4.875197
2000,"""ALLENTOWN, PA""","""CHICAGO, IL""",34,655,138,295,0.8349,6.484635,0,0,1,5.686975,42.0505,0.8349,4.927254
1997,"""ALLENTOWN, PA""","""ORLANDO, FL""",35,907,346,111,0.5253,6.810143,0,0,0,4.70953,46.37804,0.5253,5.846439
1998,"""ALLENTOWN, PA""","""ORLANDO, FL""",35,907,222,115,0.6242,6.810143,1,0,0,4.744932,46.37804,0.6242,5.402678
1999,"""ALLENTOWN, PA""","""ORLANDO, FL""",35,907,407,114,0.4853,6.810143,0,1,0,4.736198,46.37804,0.4853,6.008813
2000,"""ALLENTOWN, PA""","""ORLANDO, FL""",35,907,490,118,0.5708,6.810143,0,0,1,4.770685,46.37804,0.5708,6.194406
1997,"""AMARILLO, TX""","""AUSTIN, TX""",36,412,151,109,0.899,6.021023,0,0,0,4.691348,36.25272,0.899,5.01728
1998,"""AMARILLO, TX""","""AUSTIN, TX""",36,412,141,119,0.8879,6.021023,1,0,0,4.779123,36.25272,0.8879,4.94876
1999,"""AMARILLO, TX""","""AUSTIN, TX""",36,412,148,118,0.8875,6.021023,0,1,0,4.770685,36.25272,0.8875,4.997212
2000,"""AMARILLO, TX""","""AUSTIN, TX""",36,412,147,122,0.8835,6.021023,0,0,1,4.804021,36.25272,0.8835,4.990433
1997,"""AMARILLO, TX""","""DALLAS, TX""",37,324,816,67,0.73,5.780744,0,0,0,4.204693,33.417,0.73,6.704414
1998,"""AMARILLO, TX""","""DALLAS, TX""",37,324,785,70,0.7176,5.780744,1,0,0,4.248495,33.417,0.7176,6.665684
1999,"""AMARILLO, TX""","""DALLAS, TX""",37,324,776,70,0.7731,5.780744,0,1,0,4.248495,33.417,0.7731,6.654152
2000,"""AMARILLO, TX""","""DALLAS, TX""",37,324,729,72,0.7715,5.780744,0,0,1,4.276666,33.417,0.7715,6.591674
1997,"""AMARILLO, TX""","""HOUSTON, TX""",38,535,242,110,0.8877,6.282267,0,0,0,4.70048,39.46687,0.8877,5.488938
1998,"""AMARILLO, TX""","""HOUSTON, TX""",38,535,244,117,0.665,6.282267,1,0,0,4.762174,39.46687,0.665,5.497168
1999,"""AMARILLO, TX""","""HOUSTON, TX""",38,535,256,115,0.6664,6.282267,0,1,0,4.744932,39.46687,0.6664,5.545177
2000,"""AMARILLO, TX""","""HOUSTON, TX""",38,535,272,121,0.5918,6.282267,0,0,1,4.795791,39.46687,0.5918,5.605802
1997,"""AMARILLO, TX""","""LAS VEGAS, NV""",39,759,157,98,0.9729,6.632002,0,0,0,4.584968,43.98345,0.9729,5.056246
1998,"""AMARILLO, TX""","""LAS VEGAS, NV""",39,759,159,117,0.9671,6.632002,1,0,0,4.762174,43.98345,0.9671,5.068904
1999,"""AMARILLO, TX""","""LAS VEGAS, NV""",39,759,169,117,0.9807,6.632002,0,1,0,4.762174,43.98345,0.9807,5.129899
2000,"""AMARILLO, TX""","""LAS VEGAS, NV""",39,759,161,124,0.9561,6.632002,0,0,1,4.820282,43.98345,0.9561,5.081404
1997,"""ASPEN, CO""","""DENVER, CO""",40,125,102,123,0.9107,4.828314,0,0,0,4.812184,23.31261,0.9107,4.624973
1998,"""ASPEN, CO""","""DENVER, CO""",40,125,101,127,0.9055001,4.828314,1,0,0,4.844187,23.31261,0.9055001,4.61512
1999,"""ASPEN, CO""","""DENVER, CO""",40,125,101,130,0.9989,4.828314,0,1,0,4.867535,23.31261,0.9989,4.61512
2000,"""ASPEN, CO""","""DENVER, CO""",40,125,87,158,0.9962,4.828314,0,0,1,5.062595,23.31261,0.9962,4.465908
1997,"""ATLANTA, GA""","""AUSTIN, TX""",41,812,318,207,0.7507,6.699501,0,0,0,5.332719,44.88331,0.7507,5.762052
1998,"""ATLANTA, GA""","""AUSTIN, TX""",41,812,349,207,0.7481,6.699501,1,0,0,5.332719,44.88331,0.7481,5.855072
1999,"""ATLANTA, GA""","""AUSTIN, TX""",41,812,375,224,0.7374,6.699501,0,1,0,5.411646,44.88331,0.7374,5.926926
2000,"""ATLANTA, GA""","""AUSTIN, TX""",41,812,415,248,0.6897,6.699501,0,0,1,5.513429,44.88331,0.6897,6.028278
1997,"""ATLANTA, GA""","""BALTIMORE, MD""",42,576,1065,167,0.6135,6.356108,0,0,0,5.117994,40.4001,0.6135,6.97073
1998,"""ATLANTA, GA""","""BALTIMORE, MD""",42,576,837,189,0.9011,6.356108,1,0,0,5.241747,40.4001,0.9011,6.729824
1999,"""ATLANTA, GA""","""BALTIMORE, MD""",42,576,1187,132,0.7122,6.356108,0,1,0,4.882802,40.4001,0.7122,7.079185
2000,"""ATLANTA, GA""","""BALTIMORE, MD""",42,576,1268,173,0.6162,6.356108,0,0,1,5.153292,40.4001,0.6162,7.145196
1997,"""ATLANTA, GA""","""BATON ROUGE, LA""",43,449,155,173,0.9008,6.107023,0,0,0,5.153292,37.29573,0.9008,5.043425
1998,"""ATLANTA, GA""","""BATON ROUGE, LA""",43,449,178,152,0.9058,6.107023,1,0,0,5.02388,37.29573,0.9058,5.181784
1999,"""ATLANTA, GA""","""BATON ROUGE, LA""",43,449,183,143,0.9331,6.107023,0,1,0,4.962845,37.29573,0.9331,5.209486
2000,"""ATLANTA, GA""","""BATON ROUGE, LA""",43,449,156,185,0.921,6.107023,0,0,1,5.220356,37.29573,0.921,5.049856
1997,"""ATLANTA, GA""","""BOSTON, MA""",44,946,1622,237,0.7173001,6.852242,0,0,0,5.46806,46.95323,0.7173001,7.391415
1998,"""ATLANTA, GA""","""BOSTON, MA""",44,946,1981,163,0.7888,6.852242,1,0,0,5.09375,46.95323,0.7888,7.591357
1999,"""ATLANTA, GA""","""BOSTON, MA""",44,946,2421,134,0.7076,6.852242,0,1,0,4.89784,46.95323,0.7076,7.791936
2000,"""ATLANTA, GA""","""BOSTON, MA""",44,946,2188,177,0.7487,6.852242,0,0,1,5.17615,46.95323,0.7487,7.690743
1997,"""ATLANTA, GA""","""BUFFALO, NY""",45,712,252,185,0.8295,6.568078,0,0,0,5.220356,43.13965,0.8295,5.529429
1998,"""ATLANTA, GA""","""BUFFALO, NY""",45,712,410,119,0.5845,6.568078,1,0,0,4.779123,43.13965,0.5845,6.016157
1999,"""ATLANTA, GA""","""BUFFALO, NY""",45,712,561,100,0.5433,6.568078,0,1,0,4.60517,43.13965,0.5433,6.329721
2000,"""ATLANTA, GA""","""BUFFALO, NY""",45,712,547,115,0.5087,6.568078,0,0,1,4.744932,43.13965,0.5087,6.304449
1997,"""ATLANTA, GA""","""CHARLESTON, SC""",46,259,241,178,0.9526,5.556828,0,0,0,5.181784,30.87834,0.9526,5.484797
1998,"""ATLANTA, GA""","""CHARLESTON, SC""",46,259,250,178,0.9591,5.556828,1,0,0,5.181784,30.87834,0.9591,5.521461
1999,"""ATLANTA, GA""","""CHARLESTON, SC""",46,259,232,205,0.9654,5.556828,0,1,0,5.32301,30.87834,0.9654,5.446737
2000,"""ATLANTA, GA""","""CHARLESTON, SC""",46,259,206,218,0.9614,5.556828,0,0,1,5.384495,30.87834,0.9614,5.327876
1997,"""ATLANTA, GA""","""CHARLOTTE, NC""",47,227,783,123,0.5523,5.42495,0,0,0,4.812184,29.43008,0.5523,6.663133
