state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn,dkids,dpost,dkidsdpost,onekid,twokid,onepost,twopost,dpost92,dkidpost92
42,1992,4.699999809,0,0,17852.90805,6406.272274,46,3,1,11.44663578,0,0,0,0,0,0,0,0,0
43,1992,5.699999809,2,0,4919.101924,4575.908767,24,10,1,0.343193158,1,0,0,0,1,0,0,0,0
44,1992,5.099999905,3,0,7398.100499,1415.099786,34,10,1,5.983000713,1,0,0,0,1,0,0,0,0
45,1992,3.200000048,1,1,33203.93799,30887.38418,31,10,1,2.316553813,1,0,0,1,0,0,0,0,0
46,1992,3,0,0,1439.123307,0,32,0,0,1.439123307,0,0,0,0,0,0,0,0,0
47,1992,4.300000191,0,0,12953.25374,0,49,7,0,12.95325374,0,0,0,0,0,0,0,0,0
51,1992,5.300000191,0,0,17605.80898,13899.32288,46,11,1,3.706486101,0,0,0,0,0,0,0,0,0
52,1992,6.699999809,1,1,60001.60371,54453.31433,34,0,0,5.54828938,1,0,0,1,0,0,0,0,0
53,1992,8.600000381,3,1,4392.872416,0,21,10,0,4.392872416,1,0,0,0,1,0,0,0,0
54,1992,6.400000095,1,0,0,0,32,10,0,0,1,0,0,1,0,0,0,0,0
55,1992,11.39999962,3,0,0,0,36,11,0,0,1,0,0,0,1,0,0,0,0
56,1992,6,0,1,14512.49465,14299.7149,52,11,1,0.212779758,0,0,0,0,0,0,0,0,0
57,1992,6.300000191,0,0,0,0,41,11,0,0,0,0,0,0,0,0,0,0,0
58,1992,7,0,0,15268.66358,0,49,7,0,15.26866358,0,0,0,0,0,0,0,0,0
59,1992,8.300000191,3,0,4996.892374,0,25,11,0,4.996892374,1,0,0,0,1,0,0,0,0
61,1992,6.900000095,3,0,8236.635781,0,36,7,0,8.236635781,1,0,0,0,1,0,0,0,0
62,1992,6.400000095,0,1,45865.47755,39124.01996,52,11,1,6.741457591,0,0,0,0,0,0,0,0,0
63,1992,7.400000095,0,0,5825.13186,0,32,10,0,5.82513186,0,0,0,0,0,0,0,0,0
64,1992,8.199999809,2,1,1194.312188,0,29,11,0,1.194312188,1,0,0,0,1,0,0,0,0
71,1992,7.300000191,0,1,11439.77192,11439.77192,45,10,1,0,0,0,0,0,0,0,0,0,0
72,1992,8.199999809,2,1,11563.32145,0,41,10,0,11.56332145,1,0,0,0,1,0,0,0,0
73,1992,5.699999809,0,0,3386.172488,0,50,9,0,3.386172488,0,0,0,0,0,0,0,0,0
74,1992,7.699999809,0,1,11368.84533,11368.84533,35,11,1,0,0,0,0,0,0,0,0,0,0
81,1992,6.900000095,1,0,6489.782609,1707.957947,20,9,1,4.781824661,1,0,0,1,0,0,0,0,0
82,1992,6.5,3,0,32470.64861,25167.49822,35,10,1,7.303150392,1,0,0,0,1,0,0,0,0
83,1992,5.699999809,0,0,10638.98788,10410.19245,31,10,1,0.228795438,0,0,0,0,0,0,0,0,0
84,1992,6,2,1,61636.34711,45187.09907,40,9,1,16.44924804,1,0,0,0,1,0,0,0,0
85,1992,7,1,1,3970.744833,85.79828938,43,7,1,3.884946543,1,0,0,1,0,0,0,0,0
86,1992,7.599999905,1,1,23331.41483,21415.25303,25,11,1,1.916161796,1,0,0,1,0,0,0,0,0
87,1992,5,4,1,5147.897363,0,38,7,0,5.147897363,1,0,0,0,1,0,0,0,0
88,1992,6.699999809,3,0,11256.73557,0,33,11,0,11.25673557,1,0,0,0,1,0,0,0,0
91,1992,7.599999905,0,0,9190.712758,6863.86315,36,11,1,2.326849608,0,0,0,0,0,0,0,0,0
92,1992,7.599999905,0,0,28908.30364,28599.42979,54,7,1,0.308873842,0,0,0,0,0,0,0,0,0
93,1992,9.300000191,1,1,15100.49893,15100.49893,37,0,1,0,1,0,0,1,0,0,0,0,0
94,1992,9.199999809,2,0,18475.23165,18303.63507,33,11,1,0.171596579,1,0,0,0,1,0,0,0,0
95,1992,4.599999905,0,1,10295.79473,0,21,7,0,10.29579473,0,0,0,0,0,0,0,0,0
11,1993,7.900000095,0,0,12773.3564,12773.3564,47,7,1,0,0,0,0,0,0,0,0,1,0
12,1993,6.599999905,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,1,0
13,1993,5.5,3,0,9921.010381,0,33,10,0,9.921010381,1,0,0,0,1,0,0,1,1
14,1993,6.900000095,3,1,5795.771626,0,35,7,0,5.795771626,1,0,0,0,1,0,0,1,1
15,1993,7.800000191,0,0,49427.33564,49427.33564,22,10,1,0,0,0,0,0,0,0,0,1,0
16,1993,6.300000191,0,0,29610.86159,0,39,10,0,29.61086159,0,0,0,0,0,0,0,1,0
21,1993,7.800000191,0,1,7070.885813,0,47,3,0,7.070885813,0,0,0,0,0,0,0,1,0
22,1993,7.5,0,1,12217.99308,2221.453287,41,11,1,9.996539792,0,0,0,0,0,0,0,1,0
23,1993,7.099999905,2,1,10309.76471,10309.76471,21,10,1,0,1,0,0,0,1,0,0,1,1
31,1993,6.5,4,1,10340.86505,0,28,11,0,10.34086505,1,0,0,0,1,0,0,1,1
32,1993,5.400000095,0,0,7161.965398,1110.726644,24,11,1,6.051238754,0,0,0,0,0,0,0,1,0
33,1993,7.5,7,0,16665.34256,5775.778547,33,10,1,10.88956401,1,0,0,0,1,0,0,1,1
34,1993,7.099999905,0,0,5553.633218,0,45,0,0,5.553633218,0,0,0,0,0,0,0,1,0
35,1993,4.699999809,1,1,11938.08997,7108.650519,38,7,1,4.829439446,1,0,0,1,0,0,0,1,1
41,1993,5.099999905,0,0,5553.633218,5553.633218,23,0,1,0,0,0,0,0,0,0,0,1,0
42,1993,4,2,0,5810.211073,0,21,10,0,5.810211073,1,0,0,0,1,0,0,1,1
43,1993,6.5,2,0,4620.622837,4620.622837,30,11,1,0,1,0,0,0,1,0,0,1,1
44,1993,4.400000095,0,0,22140.11419,0,47,7,0,22.14011419,0,0,0,0,0,0,0,1,0
45,1993,3.599999905,2,0,3998.615917,0,28,11,0,3.998615917,1,0,0,0,1,0,0,1,1
46,1993,2.700000048,0,0,10551.90311,10551.90311,50,11,1,0,0,0,0,0,0,0,0,1,0
47,1993,5,0,0,11551.55709,11551.55709,52,7,1,0,0,0,0,0,0,0,0,1,0
51,1993,5.300000191,1,0,4993.82699,0,32,11,0,4.99382699,1,0,0,1,0,0,0,1,1
52,1993,6.199999809,2,1,1777.16263,1777.16263,39,0,1,0,1,0,0,0,1,0,0,1,1
53,1993,8.600000381,0,1,25546.7128,25546.7128,34,11,1,0,0,0,0,0,0,0,0,1,0
54,1993,5.099999905,0,1,26524.15225,26524.15225,36,3,1,0,0,0,0,0,0,0,0,1,0
55,1993,10.89999962,2,0,2679.072664,0,23,9,0,2.679072664,1,0,0,0,1,0,0,1,1
56,1993,4.900000095,0,0,28101.38408,26657.43945,49,10,1,1.443944637,0,0,0,0,0,0,0,1,0
57,1993,7.599999905,1,0,5553.633218,5553.633218,26,10,1,0,1,0,0,1,0,0,0,1,1
58,1993,5.800000191,1,0,23517.41523,2075.948097,40,7,0,21.44146713,1,0,0,1,0,0,0,1,1
59,1993,7,1,0,5997.923875,0,24,10,0,5.997923875,1,0,0,1,0,0,0,1,1
61,1993,6.199999809,1,0,16096.65052,16096.65052,47,9,1,0,1,0,0,1,0,0,0,1,1
62,1993,5.699999809,1,1,6997.577855,6997.577855,44,11,1,0,1,0,0,1,0,0,0,1,1
63,1993,7.599999905,0,1,8441.522491,0,34,11,0,8.441522491,0,0,0,0,0,0,0,1,0
64,1993,6.400000095,0,0,16692,9863.252595,20,11,0,6.828747405,0,0,0,0,0,0,0,1,0
71,1993,6.199999809,0,0,25803.29066,25546.7128,53,11,1,0.256577855,0,0,0,0,0,0,0,1,0
72,1993,7.5,0,0,5904.622837,0,42,10,0,5.904622837,0,0,0,0,0,0,0,1,0
73,1993,6.099999905,2,0,5764.67128,0,40,11,0,5.76467128,1,0,0,0,1,0,0,1,1
74,1993,7.199999809,2,1,5331.487889,0,49,7,0,5.331487889,1,0,0,0,1,0,0,1,1
81,1993,6.099999905,4,0,8090.532872,0,32,9,0,8.090532872,1,0,0,0,1,0,0,1,1
82,1993,6.199999809,2,0,11548.22491,0,31,11,0,11.54822491,1,0,0,0,1,0,0,1,1
83,1993,5.5,0,0,15661.24568,0,39,7,0,15.66124568,0,0,0,0,0,0,0,1,0
84,1993,5.300000191,0,1,3887.543253,3887.543253,21,11,1,0,0,0,0,0,0,0,0,1,0
85,1993,7.699999809,0,1,34563.5917,1288.442907,37,7,1,33.27514879,0,0,0,0,0,0,0,1,0
86,1993,6.300000191,3,0,6904.276817,1332.871972,34,11,0,5.571404844,1,0,0,0,1,0,0,1,1
87,1993,3.900000095,0,0,13350.93426,13328.71972,26,11,1,0.022214533,0,0,0,0,0,0,0,1,0
88,1993,7.300000191,0,0,40488.20761,40488.20761,52,9,1,0,0,0,0,0,0,0,0,1,0
91,1993,7.599999905,0,0,5331.487889,0,38,3,0,5.331487889,0,0,0,0,0,0,0,1,0
92,1993,7.300000191,0,0,57791.10727,7775.086505,21,11,1,50.01602076,0,0,0,0,0,0,0,1,0
93,1993,9.399999619,3,1,32455.43253,32438.77163,33,11,1,0.0166609,1,0,0,0,1,0,0,1,1
94,1993,7.699999809,0,0,2110.380623,0,21,10,0,2.110380623,0,0,0,0,0,0,0,1,0
95,1993,4.300000191,1,0,1602.778547,266.5743945,38,3,1,1.336204152,1,0,0,1,0,0,0,1,1
11,1994,7.400000095,1,0,6164.412956,1262.773279,38,9,1,4.901639676,1,1,1,1,0,1,0,1,1
12,1994,4.599999905,4,0,9396.072875,0,30,11,0,9.396072875,1,1,1,0,1,0,1,1,1
13,1994,4.699999809,1,0,2393.421053,2274.291498,31,9,1,0.119129555,1,1,1,1,0,1,0,1,1
14,1994,6,1,1,0,0,30,7,0,0,1,1,1,1,0,1,0,1,1
15,1994,7.099999905,2,0,17111.33603,8663.967611,36,11,1,8.447368421,1,1,1,0,1,0,1,1,1
16,1994,5.599999905,0,0,12021.25506,12021.25506,54,11,1,0,0,1,0,0,0,0,0,1,0
21,1994,6.900000095,1,1,9630,0,48,7,0,9.63,1,1,1,1,0,1,0,1,1
22,1994,6.800000191,0,1,25377.84413,24908.90688,52,7,1,0.468937247,0,1,0,0,0,0,0,1,0
23,1994,6.199999809,3,0,7041.639676,0,32,11,0,7.041639676,1,1,1,0,1,0,1,1,1
31,1994,5.5,4,1,7004.817814,0,40,11,0,7.004817814,1,1,1,0,1,0,1,1,1
32,1994,4.900000095,2,0,8756.022267,7331.882591,47,7,1,1.424139676,1,1,1,0,1,0,1,1,1
33,1994,5.699999809,3,1,5380.323887,0,25,11,0,5.380323887,1,1,1,0,1,0,1,1,1
34,1994,5.900000095,0,1,5978.137652,0,52,10,0,5.978137652,0,1,0,0,0,0,0,1,0
35,1994,4.699999809,0,1,4378.552632,4331.983806,21,11,1,0.046568826,0,1,0,0,0,0,0,1,0
41,1994,4,1,0,0,0,28,9,0,0,1,1,1,1,0,1,0,1,1
42,1994,3.700000048,1,0,20771.86235,216.5991903,54,10,1,20.55526316,1,1,1,1,0,1,0,1,1
43,1994,4.900000095,1,0,7719.595142,0,24,10,0,7.719595142,1,1,1,1,0,1,0,1,1
44,1994,3.900000095,2,0,1646.153846,1646.153846,21,10,0,0,1,1,1,0,1,0,1,1,1
45,1994,3.299999952,2,0,7901.538462,541.4979757,46,10,0,7.360040486,1,1,1,0,1,0,1,1,1
46,1994,2.900000095,0,0,16343.4919,10015.54656,45,7,0,6.327945344,0,1,0,0,0,0,0,1,0
47,1994,5.300000191,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,1,0
51,1994,4.900000095,0,1,65662.04453,59239.87854,48,9,1,6.422165992,0,1,0,0,0,0,0,1,0
52,1994,5.099999905,3,1,38289.32186,38289.32186,22,11,1,0,1,1,1,0,1,0,1,1,1
53,1994,8.199999809,2,1,6666.923077,0,23,10,0,6.666923077,1,1,1,0,1,0,1,1,1
54,1994,4.900000095,2,1,25991.90283,25991.90283,46,10,1,0,1,1,1,0,1,0,1,1,1
55,1994,8.899999619,1,0,7576.639676,0,46,7,0,7.576639676,1,1,1,1,0,1,0,1,1
56,1994,4.400000095,0,0,49817.81377,49817.81377,45,11,1,0,0,1,0,0,0,0,0,1,0
57,1994,6.300000191,2,0,19493.92713,19493.92713,27,11,1,0,1,1,1,0,1,0,1,1,1
58,1994,5.199999809,1,1,74163.56275,74163.56275,39,11,1,0,1,1,1,1,0,1,0,1,1
59,1994,6.599999905,5,1,5497.287449,0,20,11,0,5.497287449,1,1,1,0,1,0,1,1,1
61,1994,5.400000095,1,0,9255.283401,9255.283401,48,9,1,0,1,1,1,1,0,1,0,1,1
62,1994,4.800000191,0,1,7902.621458,0,42,11,0,7.902621458,0,1,0,0,0,0,0,1,0
63,1994,6,0,1,17327.93522,17327.93522,43,11,0,0,0,1,0,0,0,0,0,1,0
64,1994,6.599999905,0,0,3790.48583,3790.48583,35,11,1,0,0,1,0,0,0,0,0,1,0
71,1994,5.300000191,0,0,3898.785425,3898.785425,33,10,1,0,0,1,0,0,0,0,0,1,0
72,1994,8,1,0,24568.84615,4548.582996,20,11,1,20.02026316,1,1,1,1,0,1,0,1,1
73,1994,5.800000191,1,0,6653.927126,0,43,7,0,6.653927126,1,1,1,1,0,1,0,1,1
74,1994,6.400000095,1,1,2577.530364,0,50,9,0,2.577530364,1,1,1,1,0,1,0,1,1
81,1994,5.099999905,2,0,7676.275304,3465.587045,32,10,1,4.210688259,1,1,1,0,1,0,1,1,1
82,1994,5.599999905,1,0,14078.94737,14078.94737,35,10,1,0,1,1,1,1,0,1,0,1,1
83,1994,5.300000191,1,1,4316.821862,0,23,9,0,4.316821862,1,1,1,1,0,1,0,1,1
84,1994,4.199999809,2,0,18957.84413,15161.94332,28,11,1,3.79590081,1,1,1,0,1,0,1,1,1
85,1994,6.300000191,0,0,0,0,28,11,0,0,0,1,0,0,0,0,0,1,0
86,1994,6.400000095,2,1,6349.605263,324.8987854,21,10,1,6.024706478,1,1,1,0,1,0,1,1,1
87,1994,3.700000048,0,1,14283.6336,0,47,9,0,14.2836336,0,1,0,0,0,0,0,1,0
88,1994,6.199999809,3,1,11351.96356,11351.96356,30,9,1,0,1,1,1,0,1,0,1,1,1
91,1994,6.400000095,2,0,10266.80162,3248.987854,30,11,1,7.017813765,1,1,1,0,1,0,1,1,1
92,1994,5.400000095,0,0,7797.57085,0,54,11,0,7.79757085,0,1,0,0,0,0,0,1,0
93,1994,8.600000381,1,1,10851.61943,10829.95951,38,7,1,0.021659919,1,1,1,1,0,1,0,1,1
94,1994,7.800000191,0,0,62034.0081,60073.78543,48,9,1,1.960222672,0,1,0,0,0,0,0,1,0
95,1994,6.099999905,3,0,7473.755061,0,26,11,0,7.473755061,1,1,1,0,1,0,1,1,1
11,1995,5.699999809,2,0,8795.905512,0,23,9,0,8.795905512,1,1,1,0,1,0,1,1,1
12,1995,4,1,0,15797.24409,15797.24409,38,7,1,0,1,1,1,1,0,1,0,1,1
13,1995,4.199999809,3,0,13623.54331,2422.244095,37,10,1,11.20129921,1,1,1,0,1,0,1,1,1
14,1995,5.400000095,0,0,75133.79921,63989.37008,25,0,0,11.14442913,0,1,0,0,0,0,0,1,0
15,1995,7,1,0,0,0,20,10,0,0,1,1,1,1,0,1,0,1,1
16,1995,5.5,1,1,15797.24409,15797.24409,42,7,1,0,1,1,1,1,0,1,0,1,1
21,1995,6.300000191,3,1,13324.44882,0,21,9,0,13.32444882,1,1,1,0,1,0,1,1,1
22,1995,6.400000095,1,1,26350.8563,26328.74016,44,7,1,0.022116142,1,1,1,1,0,1,0,1,1
23,1995,5.900000095,0,1,7898.622047,7898.622047,41,7,1,0,0,1,0,0,0,0,0,1,0
31,1995,4.800000191,2,0,56684.72441,50656.49606,46,10,0,6.028228347,1,1,1,0,1,0,1,1,1
32,1995,4.699999809,0,0,81946.62402,75826.77165,22,11,1,6.119852362,0,1,0,0,0,0,0,1,0
33,1995,5.199999809,1,0,22442.61811,21062.99213,31,11,1,1.379625984,1,1,1,1,0,1,0,1,1
34,1995,5.300000191,0,0,5802.854331,0,47,11,0,5.802854331,0,1,0,0,0,0,0,1,0
35,1995,3.700000048,2,1,8151.377953,985.7480315,35,11,1,7.165629921,1,1,1,0,1,0,1,1,1
41,1995,3.700000048,0,0,30175.89567,12058.56299,37,11,1,18.11733268,0,1,0,0,0,0,0,1,0
42,1995,3.5,0,1,13706.74213,13690.94488,21,9,1,0.015797244,0,1,0,0,0,0,0,1,0
43,1995,4.800000191,0,0,17561.26969,17376.9685,54,11,1,0.184301181,0,1,0,0,0,0,0,1,0
44,1995,3.299999952,1,0,1174.261811,0,22,10,0,1.174261811,1,1,1,1,0,1,0,1,1
45,1995,2.900000095,5,0,10080.74803,8425.19685,37,7,1,1.655551181,1,1,1,0,1,0,1,1,1
46,1995,2.599999905,2,0,54601.59449,54131.88976,21,10,1,0.469704724,1,1,1,0,1,0,1,1,1
47,1995,4.400000095,0,0,27381.88976,27381.88976,51,11,1,0,0,1,0,0,0,0,0,1,0
51,1995,4.300000191,3,0,3822.933071,0,33,11,0,3.822933071,1,1,1,0,1,0,1,1,1
52,1995,5.099999905,0,0,18485.93504,18485.93504,29,7,1,0,0,1,0,0,0,0,0,1,0
53,1995,8.899999619,1,1,4170.472441,0,25,10,0,4.170472441,1,1,1,1,0,1,0,1,1
54,1995,4.5,2,1,17364.33071,0,34,11,0,17.36433071,1,1,1,0,1,0,1,1,1
55,1995,7.900000095,0,0,18106.80118,10952.75591,49,7,1,7.154045276,0,1,0,0,0,0,0,1,0
56,1995,4.300000191,0,1,5742.824803,0,40,10,0,5.742824803,0,1,0,0,0,0,0,1,0
57,1995,5.099999905,2,1,9130.807087,0,29,10,0,9.130807087,1,1,1,0,1,0,1,1,1
58,1995,4.900000095,0,1,46801.9685,40862.20472,20,11,0,5.93976378,0,1,0,0,0,0,0,1,0
59,1995,5.5,0,1,63188.97638,63188.97638,45,0,1,0,0,1,0,0,0,0,0,1,0
61,1995,5.400000095,0,0,6192.519685,0,36,7,0,6.192519685,0,1,0,0,0,0,0,1,0
62,1995,5.199999809,0,0,6040.866142,0,54,11,0,6.040866142,0,1,0,0,0,0,0,1,0
63,1995,6.300000191,0,0,0,0,48,11,0,0,0,1,0,0,0,0,0,1,0
64,1995,6.099999905,0,1,14423.93701,11584.64567,52,11,1,2.839291339,0,1,0,0,0,0,0,1,0
71,1995,4.900000095,0,0,10110.23622,10110.23622,38,3,1,0,0,1,0,0,0,0,0,1,0
72,1995,6.900000095,1,0,1352.244095,0,21,11,0,1.352244095,1,1,1,1,0,1,0,1,1
73,1995,4.699999809,0,0,5371.062992,5371.062992,22,11,1,0,0,1,0,0,0,0,0,1,0
74,1995,6,2,0,42378.74016,41072.83465,24,7,0,1.305905512,1,1,1,0,1,0,1,1,1
81,1995,5.900000095,1,0,4246.299213,0,22,10,0,4.246299213,1,1,1,1,0,1,0,1,1
82,1995,5.400000095,0,0,6192.519685,0,37,11,0,6.192519685,0,1,0,0,0,0,0,1,0
83,1995,4.800000191,1,0,21830.73819,20009.84252,37,9,1,1.820895669,1,1,1,1,0,1,0,1,1
84,1995,4.199999809,3,1,5149.901575,94.78346457,20,11,1,5.05511811,1,1,1,0,1,0,1,1,1
85,1995,6.300000191,0,0,21070.36417,15375.98425,20,11,0,5.694379921,0,1,0,0,0,0,0,1,0
86,1995,5.099999905,0,1,12253.39567,8778.001969,52,9,1,3.475393701,0,1,0,0,0,0,0,1,0
87,1995,3.599999905,0,1,32437.00787,31859.88189,26,10,1,0.577125984,0,1,0,0,0,0,0,1,0
88,1995,5.400000095,1,1,16850.3937,16850.3937,27,10,1,0,1,1,1,1,0,1,0,1,1
91,1995,6.400000095,1,0,37755.41339,32647.6378,27,11,1,5.107775591,1,1,1,1,0,1,0,1,1
92,1995,4.800000191,2,0,5402.65748,0,21,11,0,5.40265748,1,1,1,0,1,0,1,1,1
93,1995,7.800000191,1,1,15007.38189,15007.38189,50,3,1,0,1,1,1,1,0,1,0,1,1
94,1995,7.300000191,1,0,0,0,24,7,0,0,1,1,1,1,0,1,0,1,1
95,1995,5.900000095,1,0,7013.976378,0,26,10,0,7.013976378,1,1,1,1,0,1,0,1,1
11,1996,5.099999905,0,0,8224.474187,0,53,0,0,8.224474187,0,1,0,0,0,0,0,1,0
12,1996,4.199999809,0,0,11288.19312,0,54,7,0,11.28819312,0,1,0,0,0,0,0,1,0
13,1996,4.599999905,0,0,2520.535373,2455.066922,30,9,1,0.065468451,0,1,0,0,0,0,0,1,0
